sample_id,action,status,source_category,target_category,palette_validity,mask_binary,oracle_composite_equal_target,nonmask_equality,mask_area_ratio,sample_dir
add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ADD,valid,,dressing_table,True,True,True,True,0.009860992431640625,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/add_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
add_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ADD,valid,,,True,True,True,True,0.0070037841796875,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/add_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ADD,valid,,double_bed,True,True,True,True,0.0610198974609375,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/add_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
rotate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ROTATE,valid,dressing_table,dressing_table,True,True,True,True,0.009860992431640625,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/rotate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,valid,dressing_table,dressing_table,True,True,True,True,0.009860992431640625,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/translate_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
rotate_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ROTATE,valid,,,True,True,True,True,0.0070037841796875,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/rotate_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
translate_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,valid,,,True,True,True,True,0.0070037841796875,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/translate_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
rotate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,ROTATE,valid,dressing_table,dressing_table,True,True,True,True,0.01678466796875,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/rotate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,TRANSLATE,valid,dressing_table,dressing_table,True,True,True,True,0.01678466796875,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/translate_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,valid,dressing_table,,True,True,True,True,0.009860992431640625,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/remove_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
remove_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,valid,,,True,True,True,True,0.0070037841796875,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/remove_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REMOVE,valid,double_bed,,True,True,True,True,0.0610198974609375,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/remove_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
replace_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REPLACE,valid,dressing_table,dressing_table,True,True,True,True,0.011692047119140625,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/replace_1_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
replace_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REPLACE,valid,dressing_table,dressing_table,True,True,True,True,0.011692047119140625,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/replace_2_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
replace_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas,REPLACE,valid,,,True,True,True,True,0.007129669189453125,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/replace_3_015ed8e0-35dc-41ab-9a9e-b3dbba4ec64a_Mas
scale_parametric_only_missing_real_pair,SCALE,parametric_only_missing_real_pair,,,,,,,,/wuqingyaoa800/qiuziyan/LoReflection/outputs/editroom_semantic_pair_conversion_v1/scale_parametric_only_missing_real_pair
