action,cuda_max_memory_allocated_mb,cuda_max_memory_reserved_mb,epoch,epoch_progress,grad_norm,loss,lr,phase,step
ADD,59816.94970703125,61362.0,0,0.08333333333333333,0.02292695827782154,0.004517678637057543,3.3333333333333335e-05,train,1
ADD,60712.41064453125,61580.0,0,0.16666666666666666,0.06964880973100662,0.0092325359582901,3.3333333333333335e-05,train,2
ADD,60712.41064453125,61580.0,0,0.25,0.015898345038294792,0.0035674155224114656,3.3333333333333335e-05,train,3
ADD,60712.41064453125,61580.0,0,0.3333333333333333,0.01774759404361248,0.00826882291585207,3.3333333333333335e-05,train,4
ADD,60712.41064453125,61580.0,0,0.4166666666666667,0.011065276339650154,0.010001206770539284,0.0001,train,5
ADD,60712.41064453125,61580.0,0,0.5,0.006315857637673616,0.011336380615830421,0.0001,train,6
ADD,60712.41064453125,61580.0,0,0.5833333333333334,0.003920378629118204,0.0038223061710596085,0.0001,train,7
ADD,60712.41064453125,61580.0,0,0.6666666666666666,0.0022540215868502855,0.00485162902623415,0.0001,train,8
ADD,60712.41064453125,61580.0,0,0.75,0.03848418965935707,0.003602846758440137,0.0001,train,9
ADD,60712.41064453125,61580.0,0,0.8333333333333334,0.02958439104259014,0.005479305051267147,0.0001,train,10
REMOVE,59759.75634765625,61242.0,0,0.08333333333333333,0.004359222017228603,0.0030501000583171844,3.3333333333333335e-05,train,1
REMOVE,60667.22509765625,61608.0,0,0.16666666666666666,0.005019782576709986,0.002702397992834449,3.3333333333333335e-05,train,2
REMOVE,60668.11572265625,61608.0,0,0.25,0.00757336663082242,0.0016421475447714329,3.3333333333333335e-05,train,3
REMOVE,60668.11572265625,61608.0,0,0.3333333333333333,0.008502785116434097,0.006040147040039301,3.3333333333333335e-05,train,4
REMOVE,60668.11572265625,61608.0,0,0.4166666666666667,0.008204524405300617,0.003731939010322094,0.0001,train,5
REMOVE,60668.11572265625,61608.0,0,0.5,0.005457266699522734,0.0013112634187564254,0.0001,train,6
REMOVE,60668.11572265625,61608.0,0,0.5833333333333334,0.01882416009902954,0.004017664585262537,0.0001,train,7
REMOVE,60668.11572265625,61608.0,0,0.6666666666666666,0.0016380277229472995,0.004867420066148043,0.0001,train,8
REMOVE,60668.11572265625,61608.0,0,0.75,0.004556476138532162,0.0020763345528393984,0.0001,train,9
REMOVE,60668.11572265625,61608.0,0,0.8333333333333334,0.004232378676533699,0.0007580843521282077,0.0001,train,10
TRANSLATE,59763.58349609375,61244.0,0,0.08333333333333333,0.006311218254268169,0.006584953982383013,3.3333333333333335e-05,train,1
TRANSLATE,60670.13232421875,61606.0,0,0.16666666666666666,0.011206146329641342,0.005775669123977423,3.3333333333333335e-05,train,2
TRANSLATE,60671.14013671875,61606.0,0,0.25,0.0032641803845763206,0.0055573186837136745,3.3333333333333335e-05,train,3
TRANSLATE,60671.14013671875,61606.0,0,0.3333333333333333,0.0049990396946668625,0.003658839501440525,3.3333333333333335e-05,train,4
TRANSLATE,60671.14013671875,61606.0,0,0.4166666666666667,0.01243618968874216,0.012006147764623165,0.0001,train,5
TRANSLATE,60671.14013671875,61606.0,0,0.5,0.09433464705944061,0.008080237545073032,0.0001,train,6
TRANSLATE,60671.14013671875,61606.0,0,0.5833333333333334,0.004430161789059639,0.003896412206813693,0.0001,train,7
TRANSLATE,60671.14013671875,61606.0,0,0.6666666666666666,0.01107833907008171,0.0055101122707128525,0.0001,train,8
TRANSLATE,60671.14013671875,61606.0,0,0.75,0.011133568361401558,0.005213008727878332,0.0001,train,9
TRANSLATE,60671.14013671875,61606.0,0,0.8333333333333334,0.002083701780065894,0.0008483940036967397,0.0001,train,10
REPLACE,59763.99365234375,61244.0,0,0.08333333333333333,0.014603047631680965,0.004174321424216032,3.3333333333333335e-05,train,1
REPLACE,60670.68896484375,61606.0,0,0.16666666666666666,0.039738476276397705,0.007417044136673212,3.3333333333333335e-05,train,2
REPLACE,60671.72021484375,61606.0,0,0.25,0.016915757209062576,0.007840128615498543,3.3333333333333335e-05,train,3
REPLACE,60671.72021484375,61606.0,0,0.3333333333333333,0.016735414043068886,0.00600655609741807,3.3333333333333335e-05,train,4
REPLACE,60671.72021484375,61606.0,0,0.4166666666666667,0.003297027200460434,0.004333806224167347,0.0001,train,5
REPLACE,60671.72021484375,61608.0,0,0.5,0.0041899532079696655,0.002955605508759618,0.0001,train,6
REPLACE,60671.72021484375,61608.0,0,0.5833333333333334,0.020171508193016052,0.0056100753135979176,0.0001,train,7
REPLACE,60671.72021484375,61608.0,0,0.6666666666666666,0.012339577078819275,0.006067847367376089,0.0001,train,8
REPLACE,60671.72021484375,61608.0,0,0.75,0.001369025674648583,0.0006953375414013863,0.0001,train,9
REPLACE,60671.72021484375,61608.0,0,0.8333333333333334,0.006795350927859545,0.003283879952505231,0.0001,train,10
